ts,Printing,Warping,Layer_Shifting,Blobs_Layer_Separation,Not_Sticking_To_Bed,Stringing,Gaps,Colapsing,Not_Extruding
0.0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0
0.02,0,0,0,0,0,0,0,0,0
0.022,0,0,0,0,0,0,0,0,0
0.024,0,0,0,0,0,0,0,0,0
0.026,0,0,0,0,0,0,0,0,0
0.028,0,0,0,0,0,0,0,0,0
0.032,0,0,0,0,0,0,0,0,0
0.032,0,0,0,0,0,0,0,0,0
0.036,0,0,0,0,0,0,0,0,0
0.036,0,0,0,0,0,0,0,0,0
0.04,0,0,0,0,0,0,0,0,0
0.04,0,0,0,0,0,0,0,0,0
0.044,0,0,0,0,0,0,0,0,0
0.046,0,0,0,0,0,0,0,0,0
0.048,0,0,0,0,0,0,0,0,0
0.05,0,0,0,0,0,0,0,0,0
0.052,0,0,0,0,0,0,0,0,0
0.054,0,0,0,0,0,0,0,0,0
0.056,0,0,0,0,0,0,0,0,0
0.058,0,0,0,0,0,0,0,0,0
0.062,0,0,0,0,0,0,0,0,0
0.064,0,0,0,0,0,0,0,0,0
0.064,0,0,0,0,0,0,0,0,0
0.068,0,0,0,0,0,0,0,0,0
0.07,0,0,0,0,0,0,0,0,0
0.072,0,0,0,0,0,0,0,0,0
0.076,0,0,0,0,0,0,0,0,0
0.076,0,0,0,0,0,0,0,0,0
0.08,0,0,0,0,0,0,0,0,0
0.08,0,0,0,0,0,0,0,0,0
0.084,0,0,0,0,0,0,0,0,0
0.084,0,0,0,0,0,0,0,0,0
0.086,0,0,0,0,0,0,0,0,0
0.088,0,0,0,0,0,0,0,0,0
0.092,0,0,0,0,0,0,0,0,0
0.096,0,0,0,0,0,0,0,0,0
0.096,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0,0,0,0,0,0
0.102,0,0,0,0,0,0,0,0,0
0.104,0,0,0,0,0,0,0,0,0
0.108,0,0,0,0,0,0,0,0,0
0.108,0,0,0,0,0,0,0,0,0
0.112,0,0,0,0,0,0,0,0,0
0.112,0,0,0,0,0,0,0,0,0
0.116,0,0,0,0,0,0,0,0,0
0.116,0,0,0,0,0,0,0,0,0
0.118,0,0,0,0,0,0,0,0,0
0.12,0,0,0,0,0,0,0,0,0
0.122,0,0,0,0,0,0,0,0,0
0.124,0,0,0,0,0,0,0,0,0
0.126,0,0,0,0,0,0,0,0,0
0.128,0,0,0,0,0,0,0,0,0
0.13,0,0,0,0,0,0,0,0,0
0.132,0,0,0,0,0,0,0,0,0
